Movie,Year,Rating
Bahubali: The Beginning,2015,8.1
Baahubali 2: The Conclusion,2017,8.2
1 - Nenokkadine,2014,8.1
Dhoom:3,2013,5.4
Ra.One,2011,4.6
Dhoom:2,2006,6.5
Eega,2012,7.7
Krrish 3,2013,5.2
Arjun Reddy,2017,8.1
Rangasthalam,2018,8.4
Magadheera,2009,7.6
War,2019,6.5
Bharat Ane Nenu,2018,7.7
Saaho,2019,5.2
Theri,2016,7.1
Dookudu,2011,7.4
Pokiri,2006,7.9
Sarkar,2018,6.8
Athadu,2005,8.2
The Ghazi Attack,2017,7.6
Kabali,2016,6.2
MSG: The Messenger of God,2015,5.9
Nanban,2012,7.4
Srimanthudu,2015,7.5
Veer - Vivegam,2017,5.6
Billa 2,2012,6.2
Manam,2014,8
7 Aum Arivu,2011,6.2
Bigil,2019,6.8
Business Man,2012,7.1
Geetha Govindam,2018,7.7
Mahanati,2018,8.5
Spyder,2017,6.6
Nannaku Prematho,2016,7.6
Dabangg 3,2019,3.3
MSG 2 the Messenger,2015,6.7
Manikarnika: The Queen of Jhansi,2019,6.4
Race Gurram,2014,7.2
Okkadu,2003,8
Bommarillu,2006,8.2
Atharintiki Daaredi,2013,7.2
Khaleja,2010,7.5
Yennai Arindhaal,2015,7.3
Thalaivaa,2013,6.1
Kaala,2018,6.7
Bairavaa,2017,5.9
Goodachari,2018,7.8
Puli,2015,4.4
Pulimurugan,2016,6.8
Veeram,2014,6.5
Vedam,2010,8.1
Yevadu,2014,5.6
Aravindha Sametha Veera Raghava,2018,7.7
Billa,2007,7.2
Jersey,2019,8.6
Sye Raa Narasimha Reddy,2019,7.5
Ala Vaikunthapurramuloo,2020,7.2
Janatha Garage,2016,7.3
Gabbar Singh,2012,7.1
Temper,2015,7.4
Game Over,2019,7.1
Singam 2,2013,6.3
Dhruva,2016,7.9
Jalsa,2008,7.3
Maharshi,2019,7.3
Pelli Choopulu,2016,8.2
Arya 2,2009,7.4
Chekka Chivantha Vaanam,2018,7.3
Naa Peru Surya Na Illu India,2018,6.8
Ki & Ka,2016,5.8
Seethamma Vakitlo Sirimalle Chettu,2013,7.5
Singam 3,2017,6.3
Agent Sai Srinivasa Athreya,2019,8.5
Jai Lava Kusa,2017,7
Arya,2004,7.8
Maattrraan,2012,5.9
Kochadaiiyaan,2014,6.3
Thaanaa Serndha Koottam,2018,6.8
OK Kanmani,2015,7.4
Dear Comrade,2019,7.3
Happy Days,2007,7.9
Sarileru Neekevvaru,2020,6.1
Julayi,2012,7.2
Kshanam,2016,8.3
Oopiri,2016,8
Baadshah,2013,6.4
Sarrainodu,2016,6.4
Kick,2009,7.8
Leader,2010,8
Anjaan,2014,5
Khushi,2001,7.9
Maya Bazaar,1957,9.2
Rakhta Charitra,2010,7.6
Mirchi,2013,7.2
Chatrapathi,2005,7.6
C/o Kancharapalem,2018,9
Sachein,2005,6.9
Murari,2001,7.8
Vikramarkudu,2006,7.7
Kuruthipunal,1995,8.5
Brindaavanam,2010,7.1
Panjaa,2011,6.5
Nuvvu Naaku Nachchav,2001,8.7
Gopala Gopala,2015,7.3
Kaappaan,2019,6.4
Aagadu,2014,5.4
Masss,2015,6
Maanagaram,2017,8.1
Drushyam,2014,8.3
Yamadonga,2007,7.3
S/O Satyamurthy,2015,6.9
Tholi Prema,1998,8.2
Awe!,2018,7.8
Yatra,2018,8.2
Fidaa,2017,7.5
Oosaravelli,2011,6.6
Evaru,2019,8.2
Odiyan,2018,5.5
Khaidi No 150,2017,6
NGK,2019,6
Duvvada Jagannadham,2017,5.6
Bale Bale Magadivoy,2015,7.8
Shiva,1989,8.1
Manmadhudu,2002,8.3
Mr Perfect,2011,7.1
Orange,2010,6.6
Anirudh,2016,4.3
Gamyam,2008,8.3
Kanche,2015,7.9
Naayak,2013,5.5
Malliswari,2004,7.8
Nuvvostanante Nenoddantana,2005,7.7
Ye Maaya Chesave,2010,7.7
Sagara Sangamam,1983,8.8
Rudhramadevi,2015,5.8
Cameraman Gangatho Rambabu,2012,5.7
Majili,2019,7.2
Uttama Villain,2015,7.2
Arundhati,2009,7.3
Agnyaathavaasi,2018,4.5
Pilla Zamindar,2011,7.7
100% Love,2011,7
Aa Naluguru,2004,8.5
Darling,2010,7.3
Aha Naa Pellanta,1987,8.9
Vinaya Vidheya Rama,2019,3.3
Happy,2006,7
Ala Modalaindi,2011,7.7
Prasthanam,2010,8.3
Dhee,2007,7.4
Iddarammayilatho,2013,5.7
Simhadri,2003,7.4
Taxiwaala,2018,7
Parugu,2008,7
Rakhta Charitra 2,2010,6.4
Maryada Ramanna,2010,7.4
Rachcha,2012,4.3
HIT,2020,7.8
Nota,2018,6.4
U Turn,2018,7
Thammudu,1999,7.8
Zanjeer,2013,3.2
Ezra,2017,6.7
Bhaagamathie,2018,7
Adhurs,2010,6.7
Aditya 369,1991,8.4
Sardaar Gabbar Singh,2016,4.8
Gitanjali,1989,8.2
Ninnu Kori,2017,7.6
Indra,2002,7.4
Vishwaroopam 2,2018,5.9
Oru Adaar Love,2019,5.5
Tholi Prema,2018,7.3
Brochevarevarura,2019,8
7/G Rainbow Colony,2004,7.8
Tagore,2003,7.8
Gang Leader,2019,7.6
Bujjigaadu: Made in Chennai,2008,6.4
Sye,2004,7.4
Yevade Subramanyam,2015,7.6
Mathu Vadalara,2019,8.3
Katamarayudu,2017,5.7
Maari 2,2018,5.6
Gautamiputra Satakarni,2017,6.5
Rx 100,2018,6.9
A... Aa,2016,6.8
Aalavandhan,2001,7.1
F2: Fun and Frustration,2019,6.2
The House Next Door,2017,6.8
Krishna Gaadi Veera Prema Gaadha,2016,7.5
Prince,2010,4.2
Sankarabharanam,1980,8.7
Thoongaavanam,2015,7
Govindudu Andari Vaadele,2014,5.6
Anand,2004,7.8
Raja Kumarudu,1999,6.7
Baba,2002,5.1
Dhammu,2012,5.2
Ramayya Vastavayya,2013,5.1
NTR: Kathanayakudu,2019,5.7
Chirutha,2007,5.3
Thaandavam,2012,6.1
Athidhi,2007,5.5
Kshana Kshanam,1991,8.1
Penguin,2020,4.6
Rudra Veena,1988,8.5
Legend,2014,6.3
Annamayya,1997,8
Badrinath,2011,4.3
Nenu Local,2017,6.4
Oh Baby...,2019,7.4
Sketch,2018,5.7
Hello Guru Prema Kosame,2018,7.1
Rabhasa,2014,4.9
Sainikudu,2006,5.1
Ishq,2012,7.3
Arjun,2004,6.5
Badri,2000,7.1
Krishnarjuna,2008,4.9
Hello,2017,7.2
Saleem,2009,4.6
Nijam,2003,6.6
Bruce Lee: The Fighter,2015,5.5
MCA Middle Class Abbayi,2017,5.8
Ee Nagaraniki Emaindi,2018,7.9
Nenu Sailaja,2016,6.9
Gentleman,2016,7.1
Student No. 1,2001,6.8
Kumari 21F,2015,7.8
Billa,2009,6.1
Love Ke Liye Kuch Bhi Karega,2001,6
Run Baby Run,2023,6.6
Chitralahari,2019,7.2
Shankar Dada MBBS,2004,7.4
Teen Maar,2011,5.6
Kanthaswamy,2009,5
Komaram Puli,2010,3.5
Rebel,2012,4.7
iSmart Shankar,2019,5.5
Anukokunda Oka Roju,2005,8
Bheeshma,2020,6.6
Karthikeya,2014,7.4
Desamuduru,2007,6.1
Gunde Jaari Gallanthayyinde,2013,7.1
Pailwan,2019,6.4
World Famous Lover,2020,4.6
Theeya Velai Seiyyanum Kumaru,2013,6.1
Raja The Great,2017,6.5
Kadaram Kondan,2019,5.7
Sammohanam,2018,7.6
Simha,2010,5.8
Aithe,2003,8.1
Takkari Donga,2002,6.8
Kadhalil Sodhappuvadhu Yeppadi,2012,7.1
Pammal K. Sambandam,2002,7.1
Kanchana 2,2015,5.5
Saroja,2008,7.1
Vel,2007,6
Pandavulu Pandavulu Thummeda,2014,6.4
Doosukeltha,2013,6.7
Gundamma Katha,1962,8.8
Oohalu Gusagusalade,2014,7.7
Rowdy,2014,6.4
Devadas,2018,6.7
Sokkali Mainor,2016,6.4
Dhenikaina Ready,2012,6.1
Political Rowdy,2005,5.2
Anukshanam,2014,6.5
Stalin,2006,5.9
Godavari,2006,7.8
Suryam,2004,5.1
Balu,2005,6
Savyasachi,2018,5.4
Nene Raju Nene Mantri,2017,5.8
Varsham,2004,7.1
Kaashmora,2016,5.5
Run Raja Run,2014,7.4
Abhiyum Naanum,2008,7.6
Eedo Rakam Aado Rakam,2016,7
Asthram,2006,5.8
Ready,2008,7.2
Irandam Ulagam,2013,5.7
Sree,2005,5.3
Aadi,2002,7.2
Jhummandi Naadam,2010,5.3
Pandurangadu,2008,5.2
Naani,2004,5.2
Game,2006,5.1
Shatamanam Bhavati,2017,7
Mass,2004,6.4
Swamy Ra Ra,2013,7.3
Ekkadiki Pothavu Chinnavada,2016,7.5
Amazon Obhijaan,2017,4.7
Chi La Sow,2018,7.8
Kaathala Kaathala,1998,7.5
Kanchana 3,2019,4.2
Vishnu,2003,5.5
Rakhi,2006,6.3
Oh My Friend,2011,6.6
Balupu,2013,6
Aadavari Matalaku Ardhalu Verule,2007,7.4
Prayanam,2009,7.1
Antariksham 9000 kmph,2018,6
Konchem Ishtam Konchem Kashtam,2009,7
Jamba Lakidi Pamba,1993,8.2
Kotigobba 2,2016,6.5
Kaadhal,2004,7.5
Current Theega,2014,5.6
MalliRaava,2017,8
Saahasam Swaasaga Saagipo,2016,6.9
Premam,2016,6.5
Johnny,2003,5.4
King,2008,6.5
Endrendrum Punnagai,2013,6.7
Mugamoodi,2012,4.9
NTR Mahanayakudu,2019,5.4
PSV Garuda Vega,2017,7.9
Kurukshetra,2019,6.9
Uu Kodathara Ulikki Padathara,2012,4.9
Mr. Nookayya,2012,6.3
Mirapakai,2011,6.3
Nenu Meeku Telusa...?,2008,6.9
Satya 2,2013,6
Pooja,2014,5
Naan Sigappu Manithan,2014,6.5
Sakthi,2011,3.5
Uyyala Jampala,2013,7.2
Khadgam,2002,7.7
Major Chandrakanth,1993,7.3
Bachchan,2013,6.6
Manu,2018,8
Hyderabad Blues,1998,7.2
Bunny,2005,5.7
Ragile Gundelu,1985,4.4
Sri Rama Rajyam,2011,6.7
Varudu,2010,3.5
Rakshasudu,2019,8.2
Gharshana,2004,7.3
Gaganam,2011,7.1
Amar Akbar Anthony,2018,4.3
Kathakali,2016,6.5
Krishnarjuna Yudham,2018,5.6
Express Raja,2016,7.1
Kuselan,2008,4.7
Don,2007,5.5
Kantri,2008,4.9
Malli Malli Idhi Rani Roju,2015,7.5
Raju Bhai,2007,5.9
Ayogya,2019,6.1
Gudumba Shankar,2004,5.7
Potugadu,2013,5.7
Vastadu Naa Raju,2011,5.8
Dubai Seenu,2007,6.5
Dongata,2015,6.3
Sahasam,2013,6.6
Dynamite,2015,6.6
Alex Pandian,2013,2.4
Ragada,2010,6.1
Run,2020,7
Chalo,2018,6.4
Munna,2007,5.6
Disco Raja,2020,6.4
Krishna and His Leela,2020,5.3
Yeto Vellipoyindhi Manasu,2012,7.3
Praana,2019,8.5
Shankardada Zindabad,2007,5.2
Padi Padi Leche Manasu,2018,6.4
Punya Bhoomi Naa Desam,1994,6.4
Quick Gun Murugun: Misadventures of an Indian Cowboy,2009,5.9
Adavilo Anna,1997,5.5
Thamizh Padam,2010,7.3
Ek Niranjan,2009,5.2
Annavaram,2006,4.8
Bindaas,2010,6.8
Prema Katha Chitram,2013,7.1
Jagadeka Veerudu Athiloka Sundari,1990,8
Vismayam,2016,7.7
Missamma,1955,8.5
Gaddalakonda Ganesh,2019,6.6
Oka Laila Kosam,2014,6.1
Venky Mama,2019,5.5
Kick 2,2015,5.1
Gayatri,2018,6.5
Shourya,2016,6.9
Ashta Chamma,2008,7.3
Sigappu Rojakkal,1978,7.8
LIE,2017,5.9
Power,2014,5.8
Dev,2019,4.8
Pataas,2015,6.7
Okkadu Migiladu,2017,7.2
Majnu,2016,6.4
Srinivasa Kalyanam,2018,6
Luck Unnodu,2017,5.6
Amma Nanna O Tamila Ammayi,2003,7.3
Jayasurya,2015,6
Bangaram,2006,4.7
Dora,2017,5.3
Don Seenu,2010,6
Vunnadhi Okate Zindagi,2017,6.4
Krishnam Vande Jagadgurum,2012,6.9
Killing Veerappan,2016,7.3
Gunturodu,2017,6.4
Mr. Majnu,2019,6.1
Not Today,2013,5.7
Oy!,2009,6.7
Nuvve.. Nuvve...,2002,7.4
Loukyam,2014,6.4
Swathi Muthyam,1986,8.3
Life Is Beautiful,2012,6.4
Yuvaraju,2000,5.7
Chal Mohan Ranga,2018,5.8
Vamsee,2000,4.8
Endukante... Premanta,2012,6.1
Veyyil,2006,7.7
Mallesham,2019,8.5
Attack,2016,6.1
Mosagallaku Mosagadu,2015,6.2
Kandireega,2011,6.2
Raju Gari Gadhi 2,2017,5.3
Superstar Kidnap,2015,6.8
Pournami,2006,5.8
Ninne Pelladatha,1996,7.6
Shailaja Reddy Alludu,2018,5.1
Jamba Lakidi Pamba,2018,6.6
Jaya Janaki Nayaka,2017,5.1
Akkada Ammayi Ikkada Abbayi,1996,5.2
Pichhodu,2019,9.5
Bobby,2002,3.7
Okka Kshanam,2017,7
Achari America Yathra,2018,5.8
Sathyaa,1988,7.8
Bengal Tiger,2015,5.1
Ashok,2006,5.7
Coolie No. 1,1991,6.5
Pathala Bhairavi,1951,8.5
Goutham Nanda,2017,6.4
Gang Leader,1991,7.8
Golmaal,2003,7
Mahanubhavudu,2017,6.4
118,2019,6.6
Heart Attack,2014,5.3
Dictator,2016,4.2
Idiot,2002,7.1
Neninthe,2008,6.8
Rarandoi Veduka Chudham,2017,5.6
Aswathama,2020,6.4
Yamajaathakudu,1999,4.9
Jaanu,2020,7
Neevevaro,2018,6.9
Power Unlimited 2,2018,4.8
Guru,2017,7.9
Kee,2019,5.1
Jagadam,2007,6.8
Daruvu,2012,5
Damarukam,2012,5.3
Super,2005,5.1
Krishna: The Power of Indrakeeladri,2008,6.3
Chakram,2005,6
Size Zero,2015,5.4
Bhadra,2005,6.7
Erra Buss,2014,6.2
Lakshmi's NTR,2019,6.9
Dhoni,2012,6.7
Appatlo Okadundevadu,2016,7.8
Akhil,2015,3.7
Daana Veera Soora Karna,1977,8.8
Aadhi Bhagavan,2013,5.3
Devudu Chesina Manushulu,2012,3.6
Falaknuma Das,2019,6.3
Raju Maharaju,2009,6.2
Adhipathi,2001,5.5
Peda Rayudu,1995,7.2
Nela Ticket,2018,4.5
Prati Roju Pandaage,2019,6.2
Veera,1994,6.6
Kotha Bangaru Lokam,2008,6.8
Santosham,2002,7.1
Venky,2004,7.3
Jai Simha,2018,4.7
Nuvve Kavali,2000,7.5
Samba,2004,4.9
Lava Kusa,1963,8.1
George Reddy,2019,7.2
Subramanyam for Sale,2015,6
Bhoot Returns,2012,2.5
Suswagatham,1997,7.1
Dohchay,2015,5.9
Andala Rakshasi,2012,7.2
Raja,1999,7.5
Sambo Siva Sambho,2010,6.8
Okkadunnadu,2007,7.3
Manmadhudu 2,2019,4.8
Paisa Vasool,2017,4.4
Lakshmi,2006,6.9
Chantabbai,1986,8.1
Anji,2004,5.8
Dhada,2011,3.7
Uthama Puthiran,2010,5.6
Jai Chiranjeeva,2005,5.8
Magalir Mattum,1994,7.3
Anaganaga O Dheerudu,2011,5.1
Supreme Khiladi,2016,6.1
Aakali Rajyam,1981,8.1
Okka Magadu,2008,2.1
Phoonk 2,2010,3.1
Tappu Chesi Pappu Koodu,2002,5.4
Bhairava Dweepam,1994,7.8
Needi Naadi Oke Katha,2018,7.8
Narasimha Naidu,2001,7
Guru,1980,6.5
Chintakayala Ravi,2008,5.5
Yogi,2007,4.5
Yaman,2017,6.2
Anando Brahma,2017,6.7
Vanaja,2006,7.1
Raja Vaaru Rani Gaaru,2019,7.6
Gangotri,2003,4.6
Golimar,2010,5.9
Narasimhudu,2005,2.9
Swayam Krushi,1987,8.3
Mental Madhilo,2017,7.4
Gaayam,1993,7.3
Rayalaseema Ramanna Chowdary,2000,6.3
Gokulamlo Seetha,1997,5.6
Rajanna,2011,6.5
Madha,2020,5.3
Hushaaru,2018,6.9
Settai,2013,4.4
Swarnakamalam,1988,8
Tadakha,2013,5.5
Nenu Naa Rakshasi,2011,5
Diya,2018,5.7
Vikram,1986,7.2
Kadhal Desam,1996,6.8
Mudra,2019,7
Naa Autograph Sweet Memories,2004,7.3
Dum Dum Dum,2001,7
Challenge,1984,7.8
Kalisundam Raa,2000,7.3
Pandaga Chesko,2015,5.4
Lakshmi,2006,5.8
Daddy,2001,6.5
Seetha,2019,4.7
Kalki,2024,7
Parama Veera Chakra,2011,2
Samarasimha Reddy,1999,7.1
Andhrawala,2004,3.5
Hyper,2016,5.7
Kalloori,2007,7.3
Veera,2011,3.8
Criminal,1995,5.7
Gharana Mogudu,1992,7.3
Namo Venkatesa,2010,5.4
Karnan,1964,8
Annayya,2000,6.6
Mesthri,2009,4.6
Little Soldiers,1996,7.9
Alludu Seenu,2014,4.3
Yuddham Sharanam,2017,6
Khaidi,1983,7.4
Shiva Shankar,2004,4.4
Bavagaru Bagunnara?,1998,7.1
Nannu Dochukunduvate,2018,6.9
Hello Brother,1994,7.4
Naa Alludu,2005,3.4
Shamantakamani,2017,6.9
Thulasi,2007,5.4
Keshava,2017,6.3
Maja,2005,5.1
Aata,2007,4.7
Choodalani Vundi,1998,7.1
Ranarangam,2019,5.9
Mukunda,2014,5.7
Allari Police,1994,5.1
Kirrak Party,2018,5.7
Chenna Kesava Reddy,2002,6
Sarocharu,2012,4.7
Nadunisi Naaygal,2011,4.6
Nagavalli,2010,4.4
Ennaku 20 Unakku 18,2003,5.3
Bodyguard,2012,5.1
Raju Gari Gadhi 3,2019,6.7
Josh,2009,6.2
Greeku Veerudu,2013,4.6
Lakshmi Narasimha,2004,6.5
Autonagar Surya,2014,5.6
Style,2006,6
Shivamani,2003,6.3
Surya vs. Surya,2015,6.8
Swathi Kiranam,1992,8.1
Alluda Majaaka!,1995,6.3
Kavacham,2018,5.5
Chinnadana Nee Kosam,2014,5.3
Hrudaya Kaleyam,2014,5.7
Mama Manchu Alludu Kanchu,2015,6.1
Prathinidhi,2014,7.4
Meesrti,2005,3.6
Khatarnak,2006,3.6
Ritu,2009,7.1
Sri Ramadasu,2006,7
Jawaan,2017,4.7
Maalai Nerathu Mayakkam,2016,6.4
Janaki Ramudu,1988,5.5
Koduku Diddina Kapuram,1989,6.6
Subedar Joginder Singh,2018,7.1
Anasuya,2007,7.3
Postman,1999,3.6
Seven,2019,5.2
Jil,2015,5.7
Solo,2011,6.7
Andarivaadu,2005,4.4
Anthahpuram,1998,7.6
Samrat Ashok,1992,6.2
Aapathbandavudu,1992,7.6
Aaha Kalyanam,2014,6
Allari Pidugu,2005,2.7
Officer,2018,3.4
Paisa,2013,6.1
Yaan,2014,3.5
Alluri Seetharama Raju,1974,7.5
Adavi Donga,1985,6.6
Madhuram,2014,8.3
Vasu,2002,6.9
Shiva,2006,4
Saakshyam,2018,4.9
Shadow,2013,3.8
Babu Bangaram,2016,5.4
Shivam,2015,5.4
Rayudu,1998,4.2
Lion,2015,3.3
Pantham,2018,6.4
Govindha Govindha,1993,6.8
Nippu,2012,3.8
Pasivadi Pranam,1987,7.7
Chanakya,2019,5.5
Kondaveeti Raja,1986,6
Jessie,2019,7
Ninu Veedani Needanu Nene,2019,5.9
E,2006,6.4
Ramayanam,1996,7.1
Meeku Matrame Chepta,2019,6.2
Jay Jay,2003,5.6
Naaga,2003,3.9
Venkatadri Express,2013,6.9
Golkonda High School,2011,6.8
Khaidi No. 786,1988,6.6
Morning Raga,2004,6.9
Hitler,1997,6.4
Anjaneyulu,2009,4.8
Khaidi Garu,1998,4
Thimiru,2006,5.7
Loafer,2015,5.2
Collector Garu,1997,5.1
Tej I Love U,2018,5.4
Winner,2017,4.6
Anveshana,1985,7.5
Ism,2016,5.8
Abhinetri,2016,6.1
Allari Ramudu,2002,4.3
Devadasu,2006,5
Kodama Simham,1990,6.7
April 1 Vidudala,1991,7.7
Lankeshwarudu,1989,6.6
Kondaveeti Donga,1990,6.9
O Pitta Katha,2020,6.9
Mutamestri,1993,7.1
Subbu,2001,4.4
Pilla Nuvvu Leni Jeevitham,2014,6
Sri Ramulayya,1999,4.8
Boss,2006,4.2
Anaganaga Oka Roju,1997,7.1
Raghavendra,2003,4.9
Kondaveeti Simhasanam,2002,4
Cinema Chupista Maava,2015,6.1
Sri Jagadguru Adi Shankara,2013,6.4
Hawaa,2019,7
Toofan,2013,3
Ongole Githa,2013,5.1
Chukkallo Chandrudu,2006,5.4
Indrudu Chandrudu,1989,7.2
Sankranthi,2005,6.2
Aa Okkati Adakku,1993,7.8
Eeshwar,2002,5.2
Ratchakan,1997,6.4
Maruthu,2016,5.2
Yamudiki Mogudu,1988,7.3
Police Police,2010,5.6
Evvarikee Cheppoddu,2019,7.3
Sudigaadu,2012,5.7
Rama Rama Krishna Krishna,2010,5.4
Geethanjali,2014,6.3
Padamati Sandhya Ragam,1987,7.8
Sri Manjunatha,2001,6.9
Vennela,2005,7
Jaguar,2016,5.6
Marshal,2019,6.9
Master,1997,6.8
Maska,2009,5.2
Assembly Rowdy,1991,6
Mehbooba,2018,5.7
Sneham Kosam,1999,6.5
Sindhu Bhairavi,1985,7.2
Adhinayakudu,2012,3.6
Lakshyam,2007,6.1
Adavi Ramudu,2004,4
Kunti Puthrudu,1993,4.1
Mathangi,2016,4.2
Brahma,1992,3.9
Alludugaru,1990,5.7
Oka Chinna Viramam,2020,7.3
Nenu Lenu,2019,7.3
Mrugaraaju,2001,4.4
Bharani,2007,5.8
Dil,2003,7
Ullasanga Utsahanga,2008,6.9
Kedi,2010,4.7
Shock,2006,5.4
Jyo Achyutananda,2016,6.5
Mithunam,2012,7.7
Palasa 1978,2020,7.6
Maro Charithra,1978,7.4
Pelli Pustakam,1991,7.5
Boy,2019,6.9
