Movie,Year,Rating
Yamaleela,1994,7.5
Suryavamsam,1998,7.1
Kaakki Sattai,1985,7.1
Ammoru,1995,7.1
Ninnu Choodalani,2001,4.4
Premante Idera,1998,6.7
Devadasu,1953,7.4
Ninaithale Inikkum,1979,6.9
Jayam,2002,6.3
Mugguru,2011,5
Ganesh,2009,5
Arjun Reddy,2017,5
Vangaveeti,2016,6.2
Chandamama Kathalu,2014,7.2
Chandamama,2007,6.7
Rowdy Fellow,2014,6.7
Shirdi Sai,2012,6.7
Sisindri,1995,6.7
Manasantha Nuvve,2001,7.1
Seetharamaiah Gari Manavaralu,1991,7.7
Bhale Manchi Roju,2015,6.9
Devi Putrudu,2001,5.8
Super Duper,2019,6.6
Subhash Chandra Bose,2005,3.1
Hyderabad Blues 2,2004,6.2
Vijetha,1985,7.2
Veera Bhoga Vasantha Rayalu,2018,6.7
Tik Tik Tik,1981,7
Detective Naarada,1993,5.9
Kalyana Vaibhogame,2016,6.8
Heza,2019,7.4
Narthanasala,1963,7.6
Nenunnanu,2004,5.3
Ganesh,1998,7.2
Veedevadandi Babu,1997,5.6
Sirivennela,1986,7.5
Routine Love Story,2012,6
Intlo Illalu Vantaintlo Priyuralu,1996,6.9
Guna 369,2019,6.3
Anandam,2001,7.1
Masala,2013,5.3
Entha Manchivaadavuraa,2020,5.5
Ruler,2019,3.6
Om Namo Venkatesaya,2017,7.2
Gundello Godari,2013,4.8
Rowdy Gari Pellam,1991,3.8
Paper Boy,2018,6.5
Mister,2017,3.9
Raju Gari Gadhi,2015,5
Thodarum,1999,5.4
Allari Mogudu,1992,5.7
Nirnayam,1991,7
Dharma Bhai,2018,3
Software Sudheer,2019,6
Bhageeratha,2005,5.6
Azaad,2000,6.2
Minugurulu,2012,7.5
Raaja Paarvai,1981,7.2
Vijayendra Varama,2004,2
Mogudu,2011,3.8
Jayam Manadera,2000,6.3
Oxygen,2017,5.5
Athaku Yamudu Ammayiki Mogudu,1989,7
Sindhooram,1997,7.4
Bezawada,2011,3.3
Satyam,2003,6.7
Avunu Valliddaru Ishtapaddaru,2002,6.6
Baladoor,2008,4
2 Hours Love,2019,6.7
Sakalakala Vallavan,1982,6.7
MLA,2018,5.2
Appula Appa Rao,1991,7.3
Radha,2017,5.4
Ladies Tailor,1985,7.1
Abhilasha,1983,7.3
Srimannarayana,2012,4.1
Katha Screenplay Darsakatvam: Appalaraju,2011,5
Chandralekha,1998,6.7
Maharadhi,2007,2.1
Speedunnodu,2016,4.6
Subhalekha,1982,7.3
Asura,2015,6.5
Palnati Brahmanayudu,2003,2.5
@ Nartanasala,2018,3.7
Nuvvu Nenu,2001,6.7
Rowdy Mogudu,1993,4.5
Vijetha,2018,6.8
Ravoyi Chandamama,1999,4.8
Dream,2012,8.3
Preminchukundam Raa,1997,7.2
Vasantham,2003,5.6
Chanti,1992,7
Bobbili Raja,1990,6.9
Kataka,2017,7.5
Dongala Mutha,2011,3.7
Chitemma Mogudu,1992,4.4
Subha Sankalpam,1995,6.8
Maa Inti Katha,1990,2.5
W/o Ram,2018,6
James Bond,2015,5.5
Padmavyuham,1984,1.6
Avunu,2012,6.5
Veerabhadra,2005,2.5
Iddaru Mitrulu,1999,5.2
Singham123,2015,4.8
Anaamika,2014,5.6
Sasirekha Parinayam,2009,5.3
Bendu Apparao RMP,2009,6.7
Rajaratha,2018,5.2
Danger,2005,6.4
Andari Bandhuvaya,2010,7.3
Seenu,1999,5.6
Janda Pai Kapiraju,2015,6.3
Deyyam,1996,6.4
Rowdy Alludu,1991,6.9
Krishna Aur Kans,2012,6.5
Seema Tapakai,2011,6.1
Mahathma,2009,5.9
Baanam,2009,7.1
Bhai,2013,3.2
Itlu Sravani Subramanyam,2001,6.5
Sathyam,2008,5.1
Bhale Ramudu,1984,1.3
Pressure Cooker,2020,6.5
Ranam,2006,6.5
Aavida Maa Aavide,1998,6.4
Alavuddinum Athbutha Vilakkum,1979,6.6
Naa Mogudu Nanke Sontham,1989,3.2
Sri Anjaneyam,2004,4.4
Chiru Navvuto,2000,7.2
Operation Gold Fish,2019,4.4
Subrahmanyapuram,2018,5.5
Baava,2010,4.7
Veera Prathap,1987,1.2
Courier Boy Kalyan,2015,5.4
Jabardasth,2013,3.9
Pellam Oorelithe,2003,6.8
Hanuman Junction,2001,6.8
Money,1993,7.2
Ninnu Thalachi,2019,7.4
Jayammu Nischayammuu Raa,2016,7.2
A Film by Aravind,2005,7.1
Ye Mantram Vesave,2018,4
Bhakta Prahlada,1967,7.5
Souryam,2008,5.8
Blade Babji,2008,6.4
Devi,1999,6.6
Gulabi,1996,7
Rajendrudru Gajendrudru,1993,7.2
Lovely,2012,5.4
Adhirindhi Alludu,1996,3.3
Andhrudu,2005,6.6
Malliswari,1951,7
Bluff Master,2018,6.5
Aatagadharaa Siva,2018,7.3
Rechipo,2009,3.3
Kadhal Sadugudu,2003,5.7
Ra Ra Krishnayya,2014,5.3
Nuvvu Vasthavani,2000,6.7
Prathigna,1982,1.1
Life Before Wedding,2010,7.2
Silly Fellows,2018,5.9
Donga Police,1992,3.1
Sundara Kanda,1992,7
Chitram Bhalare Vichitram,1992,6.8
Ninne Premistha,2000,6.1
Sahasa Veerudu Sagara Kanya,1996,6.1
Bhookailas,1958,7.1
Antham,1992,6.4
Ami Thumi,2017,6.6
Oka Manasu,2016,5.3
Aatadista,2008,4.2
Poola Rangadu,2012,5.7
Kitakitalu,2006,5.8
Money Money,1995,7
Prema Katha,1999,6.3
Enga Veetu Pillai,1965,7.1
Missamma,2003,7
Sitaramaraju,1999,5.7
Desa dimmari,2018,6.8
Sparsha,2000,6.9
Case No. 666/2013,2013,4.6
I Love You,2019,4.8
Nayaki,2016,2.9
Ee Rojullo,2012,5.6
Kamma Rajyam Lo Kadapa Reddlu,2019,3.7
Mugguru Monagallu,1994,6.1
24 Kisses,2018,4.9
Next Enti?,2018,4.6
Naa Bangaaru Talli,2013,7.2
Anthaka Mundu Aa Tarvatha,2013,6.6
Edadugula Bandham,1985,1.7
Naa Nuvve,2018,4.2
All the Best,2012,5.5
Ranga (S.S.L.C),2004,6.2
Maanavudu Daanavudu,1986,1.6
Athanokkade,2005,6.8
Seema Sastry,2007,6.3
Amma Cheppindi,2006,7.1
Kalyanaraman,1979,6.6
Sankham,2009,5
Ride,2009,5.2
Ave Kallu,1967,7.2
Suryakantham,2019,5.4
Bhale Dongalu,2008,4.2
Kousalya Krishnamurthy,2019,7.4
Andhhagadu,2017,5.7
Okka Ammayi Thappa,2016,5.7
Bheemli Kabadi Jattu,2010,7.3
Naa Ishtam,2012,3.5
Saptapadhi,1981,7.2
Voter,2019,7.4
Sankarabharanam,2015,4.8
Chaarulatha,2012,5.3
Prema Kavali,2011,5.8
Ontari,2008,5.8
Killer,1992,6.5
Mr. Pellam,1993,7.2
Ammammagarillu,2018,5.4
Brand Babu,2018,5.3
Bama Vijayam,1967,7.3
Mitrudu,2009,4.3
Mr. Medhavi,2008,5.8
Dharma Chakram,1996,7.1
Chettu Kinda Pleader,1989,7.2
Hippi,2019,5
Aha Naa Pellanta,2011,5.4
Veta,1986,6.9
Aatagallu,2018,5.3
Thikka,2016,4.6
Dorasani,2019,5.9
Allari Bullodu,2005,2.9
Peddarikam,1992,7.1
Kalathur Kannamma,1960,7
Raju Gadu,2018,5.3
Guntur Talkies,2016,5.8
Kshemanga Velli Labhamga Randi,2000,6.7
Kotha Janta,2014,4.7
Iddari Lokam Okate,2019,5.6
Eduruleni Manishi,2001,4.5
Mathru Devo Bhava,1993,7.4
Kittu Unnadu Jagratha,2017,5.8
Ice Cream,2014,3.5
Nuvva Nena,2012,4.6
Rama Chakkani Seetha,2019,6.1
Jappanil Kalyanaraman,1985,6
Idaya Kovil,1985,6.2
Jaihind 2,2014,5.2
Nuvvila,2011,6.8
Srivaariki Premalekha,1984,6.8
Mard Ki Zabaan 2,2015,3.7
Hyderabad Nawabs,2006,6.9
Veede,2003,4.9
Nari Nari Naduma Murari,1989,6.3
Mayalodu,1993,7
Raja Vikramarka,1990,6.7
ABCD: American-Born Confused Desi,2019,5.4
Alludu Diddina Kapuram,1991,1.4
Hare Ram,2008,6.4
Yamagola,1977,6.6
Meendum Kokila,1981,6.3
M Dharmaraju M.A.,1994,5.4
Prema Panjaram,1991,1
Tenali Ramakrishna BA.BL,2019,5
Gowtham SSC,2005,5.9
Kanchana,1952,7
Mayuri,1984,6.8
Swayamvaram,1999,6.9
Seetharamula Kalyanam Lankalo,2010,4.3
Pavitra Bandham,1996,6.7
Bala Gopaludu,1989,3.4
Yuvakudu,2000,7
Jayammu Nischayammu Raa!,1990,6.9
Manchi Donga,1988,5.1
Big Boss,1995,4.7
Idam Jagath,2018,5.5
Happy Wedding,2018,4.3
Nuvvu Leka Nenu Lenu,2002,6.3
Thoongathey Tambi Thoongathey,1983,6.4
Yamudiki Mogudu,2012,4.8
Bommana Brothers Chanadana Sisters,2008,5.7
Rowdy Inspector,1992,5.9
Sontham,2002,6.9
Annai Oru Aalayam,1979,6.9
Wanted,2011,4
Panchakshari,2010,3.8
Snehamante Idera,2001,4.3
Soggadi Pellam,1996,4.1
Bhale Donga,1989,3.3
1st Rank Raju,2019,5.3
Dongodu,2003,4.9
Devullu,2001,7
Sardar Papa Rayudu,1980,5.9
Srinivasa Kalyanam,1987,7.9
Pourudu,2008,5.4
Amrutha Ramam,2020,8
Prematho Raa,2001,5.8
Bumper Offer,2009,4.9
Mangamma Gari Manavadu,1984,7.5
Yudda Bhoomi,1988,7.7
Rayalaseema Love Story,2019,6.2
Soggadu,2005,4.8
Budget Padmanabham,2001,5.7
Swargam Narakam,1975,8.1
Manmatha Leelai,1976,7.5
Emo Gurram Egaravachu,2014,5.6
Ayyare,2012,6.9
Valayam,2020,7
Babai Abbai,1984,7.6
Two Town Rowdy,1989,8
State Rowdy,1989,7.3
Aradhana,1987,7.5
Idhi Mamulu Prema Katha Kaadu,2012,6.7
Rey,2015,5
Prema Yuddham,1990,8.4
Samudram,1999,6.7
Kabaddi Kabaddi,2003,6.7
Sruthilayalu,1987,7.8
Rikshavodu,1995,5.8
Muthyala Muggu,1975,7.4
Napoleon,2017,7.4
Bazaar Rowdy,1988,7.4
Pelli Sandadi,1996,7.4
Idi Ma Prema Katha,2017,8.1
Babu Baga Busy,2017,6.4
Rogue,2017,5.9
Bhanumathi & Ramakrishna,2020,7.5
S. P. Parasuram,1996,6
Ala Ela,2014,7.3
Kevvu Keka,2013,5.4
Mantra,2007,6.8
Runam,2019,8.8
Choopulu Kalasina Subhavela,1988,7.7
Manoharam,2000,7.1
Agni,1989,8.5
Appu Chesi Pappu Koodu,1989,8
Siddu from Srikakulam,2008,5.4
Nachavule,2008,7.3
Yagnam,2004,6.3
Mee Sreyobhilashi,2007,7.6
Kadapa Redamma,1990,8.4
Ghatotkachudu,1995,7.2
Jagadeka Veeruni Katha,1961,7.9
Kanyasulkam,1955,7.9
Snehamera Jeevitham,2017,8.3
Kobbari Matta,2019,5.8
Dhruvanakshatram,1989,8.2
Per Sollum Pillai,1987,6.9
Vivaha Bhojanambu,1988,7.6
Shanti Kranti,1991,6.9
Sukumarudu,2013,5.3
Fitting Master,2009,5.5
Operation Duryodhana,2007,5.8
Prema,1989,7.7
Mooga Manasulu,1964,7.7
Ontari Poratam,1989,7.9
Tandra Paparayudu,1986,7.9
Nireekshana,1982,7.4
Premaabhishekam,1981,7.7
Savaari,2020,6.7
Surya IPS,1991,7
Maharasan,1993,6.3
Chakravarthy,1987,8
Lover,2018,5.8
Jadoogadu,2015,5.5
Allari Alludu,1993,7.5
Pandava Vanavasamu,1965,8.1
Mechanic Alludu,1993,6.3
Kondaveeti Simham,1981,7.5
Malini 22,2013,5.1
Bobbili Simham,1994,7.7
Show,2002,7
Varasudochhadu,1988,7.8
Family Circus,2001,6.6
Edurinti Mogudu Pakkinti Pellam,1991,7.5
Adavi Ramudu,1977,7.2
Donga,1985,7.2
Aakhari Poratam,1988,7.2
Rough,2014,4.9
Paathshala,2014,7.3
Kathi Kanta Rao,2010,6.5
Pelli Chesukundam,1997,6.8
Black Tiger,1989,7.9
Sri Krishna Pandaveeyam,1966,7.9
Nakshatram,2017,4.3
Subhalagnam,1994,7.7
Hai Hai Nayaka,1989,7.7
Om Shanti,2010,5.1
Pellaina Kothalo,2006,6.2
Anukunnadi Okkati Ayyindhi Okati,2020,5.6
Grahanam,2004,8
Chinnabaabu,1988,8.2
Karthavyam,1990,7
Raakshasudu,1986,7.4
Neeya,1979,6.2
D for Dopidi,2013,5.8
Mugguru Kodukulu,1988,7.5
Balachandrudu,1990,7.4
Vinodam,1996,7.2
Vijay,1989,8
Sri Shirdi Saibaba Mahathyam,1986,7.7
Anthuleni Katha,1976,7.7
Mithai,2019,4.4
Tiger,2015,5.7
Luv U Alia,2015,5.2
Brother of Bommali,2014,5.8
Mr. Pellikodukku,2013,5.2
Broker,2010,7.3
Current,2009,5.6
Evadi Gola Vadide,2005,6.4
Bangaru Bullodu,1993,7.3
Karma,2010,7.1
Murali Krishnudu,1988,8.1
Varasudu,1993,7
Seetha Rama Kalyanam,1961,7.7
Rendu Rella Aaru,1985,7.4
Sampoorna Ramayanam,1972,7.7
Chuttalabbayi,2016,6.1
Columbus,2015,6.9
Raagala 24 Gantallo,2019,5.7
Andala Ramudu,2006,5.6
Brahma Puthrudu,1988,7.9
Alibaba Aradajanu Dongalu,1994,7.1
Thipparaa Meesam,2019,6.4
Sitaara,1983,7.6
Chettaniki Kallu Levu,1981,7.8
Manasuku Nachindhi,2018,6.1
Om 3D,2013,5.5
Action,2013,5
Dongala Bandi,2008,6
Sultan,1999,5.7
Love Today,2004,7.8
Samanyudu,2006,7.2
Sathruvu,1990,7.5
Gandeevam,1994,6.5
Punnami Naagu,1980,7.4
Jyothi Lakshmi,2015,5.8
Avakai Biryani,2008,6.9
Lorry Driver,1990,7.3
Padaharella Vayasu,1978,7.7
Prananiki Pranam,1990,8.2
Akasa Veedhilo,2001,4.9
Totti Gang,2002,6.7
Allari,2002,6.7
Savitri,2016,5.9
Peddinti Alludu,1991,8.5
143,2004,5.2
Superman,1980,4.9
Abhinandana,1988,7.5
Justice Chowdhary,1982,6.9
Gharana Bullodu,1995,6.4
Intlo Ramayya Veedilo Krishnayya,1982,7.6
Anna Thamudu,1990,7.5
Krishnamma Kalipindi Iddarini,2015,7.3
Nandhi,2002,7.2
Sons of Ram,2012,6.5
Kondapalli Raja,1993,6.9
Bava Nachadu,2001,3.9
Seema Simham,2002,5
Sandade Sandadi,2002,6.1
Donga Ramudu,1988,7.5
Vetagadu,1979,6.9
Sher,2015,4.8
Kaamannana Makkalu,2008,6.8
Vinayakudu,2008,7.1
Dongaata,1996,6.9
90 ML,2019,4.9
Kathanam,2019,3.9
Ramudu Bheemudu,1964,7.5
Patel S.I.R,2017,5.4
Nagarahaavu,2016,5.5
Selfie Raja,2016,5.6
Wish You Happy Breakup,2016,7.4
Lovers,2014,6.6
Ramudochhadu,1996,6.2
Radha Gopalam,2005,6.3
Donga Mogudu,1987,7.3
Rangula Raatnam,2018,6.2
Adda,2013,6
Kalidasu,2008,3.7
Ela Cheppanu,2003,6.1
Vishwanatha Nayakudu,1987,7.7
Sri Madvirat Veera Brahmendra Swamy Charitra,1984,7.7
Brahma,2014,5.4
Madatha Kaaja,2011,5.4
Dollar Dreams,2000,7.9
Betting Bangarraju,2010,6.3
Athili Sathibabu LKG,2007,5.3
Vinara sodara veera kumara,2019,7.6
Tenali Ramakrishna,1956,7.9
Maharshi,1988,7.9
Idi Kathakaadu,1979,8.1
Agni Nakshatram,1989,8.5
Bandipotu,2015,6.2
Onamalu,2012,8
Vaana,2008,6.5
Jodi,2019,6.2
Madhumasam,2007,6.6
Bhakta Prahlada,1932,7.1
Team 5,2017,4.4
Sandhippoma,1998,8.2
Ice Cream 2,2014,3.6
Okkadine,2013,5.6
Kiccha Huccha,2010,6
Visakha Express,2008,5
Aaviri,2019,4.5
Brindavanam,1992,7.4
Rudranetra,1989,6.7
Kaali,1980,6.3
Bobbili Puli,1982,7
Manavoori Pandavulu,1978,8.2
Next Nuvve,2017,5.8
Joru,2014,5.6
Ko antey koti,2012,6.2
Kalyan Ram Kathi,2010,6
Priyamyna Neeku...,2001,6.8
Vamsodharakudu,2000,6.4
Super Police,1994,5.6
Bamma Maata Bangaru Baata,1990,7.2
Mantra 2,2013,4.5
Prema Ishq Kaadhal,2013,6.8
Galipatam,2014,5.7
Katha,2009,6.5
Peddannayya,1997,7.6
Lakshmi Kalyanam,2007,5.3
Avunanna Kadanna,2005,5.7
Bava Bava Panneeru,1989,7.5
Balakrishnudu,2017,4.6
Partha,2003,7.1
Athade Oka Sainyam,2004,7.1
Rakshana,1993,7.2
Garam,2016,4.9
Raja Cheyyi Vesthe,2016,5.7
It's My Love Story,2011,5.9
Okariki Okaru,2003,7.7
Kurradu,2009,4.5
Homam,2008,5.8
Raahu,2020,6.6
Gulebakavali Katha,1962,8.2
Nene Raju Nene Manthri,1987,8
Osey Ramulamma,1997,7.5
Trinetrudu,1988,7.3
Oka Oori Katha,1977,7.5
Bhale Manchi Chowka Beram,2018,6.4
Bhairava Geetha,2018,5
Naanna Nenu Naa Boyfriends,2016,4.5
Basanti,2014,6.5
Mansara,2010,7.2
Gaayam 2,2010,5.4
Village lo Vinayakudu,2009,6.7
Abbaigaru,1993,7.2
Ammo Okato Tariku,2000,7.3
Raksha,2008,6.1
Stoovertpuram Police Station,1991,6.6
Srimanthudu,1971,7.2
Lakshmi Raave Maa Intiki,2014,4.5
Mr. Theertha,2010,6.5
Ee Abbai Chala Manchodu,2003,5.1
Yemaindi Ee Vela,2010,5.4
Aadu Puli Attam,1977,6.6
Subhakankshalu,1998,7.3
Samsaaram Oka Chadarangam,1987,8
Intinti Bhagavatham,1988,8.1
Driver Ramudu,1979,8.1
Saradaga Kasepu,2010,5.6
Snehithuda,2009,5.6
Kaasi,2004,6.7
Prema Pipasi,2020,8.2
Uyarntha Ullam,1985,7.3
Pekata Paparao,1993,6.8
Praja pratinidhi,1988,8.4
Meghasandesam,1983,7.5
Joker,1993,7.1
Marana Mrudangam,1988,7.6
Maa Bhoomi,1979,8.3
Kerintha,2015,6.5
Tripura,2015,5.7
123,2002,5.7
Jaffa,2013,4.8
Jai Bolo Telangana,2011,6.7
Nee Sneham,2002,6.4
Maro Charitra,2010,3.4
Aswamedham,1992,7.1
Rachayitha,2018,7.2
Terror,2016,7.1
Avunu Part 2,2015,4.9
Kashi from Village,2005,6.6
Aadu Magaadra Bujji,2013,5.9
Papikondalu,1986,8.3
RDX Love,2019,3.2
Rajdooth,2019,6.7
Classmates,2007,6.1
Oka Radha Iddaru Krishnulu,1986,6.8
Sri Kanaka Mahalakshmi Recording Dance Troupe,1987,7.6
Sri Krishnarjuna Yudham,1963,8.1
Rambantu,1996,7.3
Intlo Dayyam Nakemi Bhayam,2016,4.7
Amrutham Chandamama Lo,2014,7.3
Nirmala Convent,2016,6.2
Gruha Pravesam,1982,8.2
Beach Road Chetan,2019,7.9
Undiporaadhey,2019,7.2
Sardar Dharmanna,1987,8.4
Biwi No. 2,2000,5.8
Muddula Mavayya,1989,7.8
Parugo Parugu,1993,6.8
Top Hero,1994,6.2
Allari Priyudu,1993,6.7
Jebu Donga,1987,7.3
Devatha,1982,7.7
Thayillamal Nannilai,1979,6.5
Nandini Nursing Home,2016,7.2
Nenu,2004,6.5
Muddula Mogudu,1997,7
Dhairyam,2005,3.8
Pravarakyudu,2009,5.7
Choosi Choodangaane,2020,7.1
Burra katha,2019,5.1
Mayabazaar,2006,6.7
Panduranga Mahatyam,1957,8.2
Ankuram,1993,7.9
Manthrigari Viyyankudu,1983,7.3
365 Days,2015,5.3
Maa Alludu Verygood,2003,5.9
Nampalli Nagu,1986,8.5
Sambaram,2003,5.8
Kurukshetramu,1977,8.2
Chanakya Chandragupta,1977,7.1
Parthal Pasi Theerum,1962,7.8
Krishnashtami,2016,5.2
Malaikottai,2007,5.2
Thakita Thakita,2010,6.5
Inkosari,2010,6.5
Kalusukovalani,2002,6.6
Raam,2006,4.3
Neeku Nenu Naaku Nuvvu,2003,4.8
Golmaal Govindam,1992,7.2
Taskara,2015,6.2
SMS - Siva Manasulo Sruthi,2012,6.5
Nammanna,2005,6.3
Neeku Naaku Dash Dash,2012,6.4
Sneha Geetham,2010,6.4
Baachi,2000,4.7
Ammo Bomma,2001,6.1
Swagatam,2008,5.8
Evadithe Nakenti,2007,6.5
Mosagalaku Mosagaadu,1971,8.3
Kalyana Ramudu,2003,6.9
Chinnabbayi,1997,5.2
Ugranarasimham,1986,8.6
Paramanandayya Shishyula Katha,1966,8.1
Adhugo,2018,6.1
Seethamma Andalu Ramayya Sitralu,2016,4.2
Run,2016,5.4
Raaj,2011,4.6
Takkari,2007,4.5
Victory,2008,4.3
Screenplay of an Indian Love Story,2020,8.9
Chal Mohana Ranga,1978,8.2
Andha Oru Nimidam,1985,7
Maavichiguru,1996,6.4
Sri Krishnarjuna Vijayam,1996,7.1
Gudachari No.1,1983,7
Billa Ranga,1982,7.8
Vicky Dada,1989,7.4
Kondura (The Sage from the Sea),1978,7.4
Money Money More Money,2011,4.3
President Gari Pellam,1992,6.5
Evaraina Eppudaina,2009,4.9
Maro Monagadu,1985,8.6
Jakkanna,2016,6.3
Muvva Gopaludu,1987,7.8
Ninney Ishta Paddaanu,2003,5.9
9 Nelalu,2001,7.3